,score,qid,participant,index
185,,matrix3,601146dadb5b643e9ca054e5,2
186,,matrix3,601146dadb5b643e9ca054e5,3
187,,matrix4,601146dadb5b643e9ca054e5,0
188,,matrix4,601146dadb5b643e9ca054e5,1
189,,matrix4,601146dadb5b643e9ca054e5,2
190,,matrix4,601146dadb5b643e9ca054e5,3
191,,matrix5,601146dadb5b643e9ca054e5,0
192,,matrix5,601146dadb5b643e9ca054e5,1
193,,matrix5,601146dadb5b643e9ca054e5,2
194,,matrix5,601146dadb5b643e9ca054e5,3
195,,matrix_test,601146dadb5b643e9ca054e5,0
196,,matrix_test,601146dadb5b643e9ca054e5,1
197,,matrix_test,601146dadb5b643e9ca054e5,2
198,,dataframe1,601146dadb5b643e9ca054e5,0
199,,dataframe1,601146dadb5b643e9ca054e5,1
200,,dataframe2,601146dadb5b643e9ca054e5,0
201,,dataframe2,601146dadb5b643e9ca054e5,1
202,,dataframe3,601146dadb5b643e9ca054e5,0
203,,dataframe3,601146dadb5b643e9ca054e5,1
204,,dataframe3,601146dadb5b643e9ca054e5,2
205,,dataframe4,601146dadb5b643e9ca054e5,0
206,,dataframe4,601146dadb5b643e9ca054e5,1
207,,dataframe4,601146dadb5b643e9ca054e5,2
208,,dataframe4,601146dadb5b643e9ca054e5,3
209,,dataframe5,601146dadb5b643e9ca054e5,0
210,,dataframe5,601146dadb5b643e9ca054e5,1
211,,dataframe5,601146dadb5b643e9ca054e5,2
212,,dataframe5,601146dadb5b643e9ca054e5,3
213,-1.0,vector3,6018f3a9f8a80c12afba217e,0
214,0.0,vector3,6018f3a9f8a80c12afba217e,1
215,-1.0,vector3,6018f3a9f8a80c12afba217e,2
216,1.0,vector2,6018f7b8f8a80c12afba2403,0
217,0.0,vector2,6018f7b8f8a80c12afba2403,1
218,1.0,vector_test,6018f3a9f8a80c12afba217e,0
219,1.0,vector_test,6018f3a9f8a80c12afba217e,1
220,1.0,vector_test,6018f3a9f8a80c12afba217e,2
221,1.0,vector3,6018f7b8f8a80c12afba2403,0
222,1.0,vector3,6018f7b8f8a80c12afba2403,1
223,0.0,vector3,6018f7b8f8a80c12afba2403,2
224,1.0,vector2,6018fd16f8a80c12afba2cd5,0
225,1.0,vector2,6018fd16f8a80c12afba2cd5,1
226,1.0,matrix2,6018f3a9f8a80c12afba217e,0
227,1.0,matrix2,6018f3a9f8a80c12afba217e,1
228,1.0,matrix2,6018f3a9f8a80c12afba217e,2
229,1.0,matrix2,6018f3a9f8a80c12afba217e,3
230,1.0,vector3,6018fd16f8a80c12afba2cd5,0
231,1.0,vector3,6018fd16f8a80c12afba2cd5,1
232,1.0,vector3,6018fd16f8a80c12afba2cd5,2
233,1.0,vector3,6018f3bcf8a80c12afba2189,0
234,1.0,vector3,6018f3bcf8a80c12afba2189,1
235,1.0,vector3,6018f3bcf8a80c12afba2189,2
236,1.0,vector3,6018f723f8a80c12afba2369,0
237,1.0,vector3,6018f723f8a80c12afba2369,1
238,1.0,vector3,6018f723f8a80c12afba2369,2
239,1.0,matrix1,6018fd16f8a80c12afba2cd5,0
240,1.0,matrix1,6018fd16f8a80c12afba2cd5,1
241,1.0,matrix1,6018fd16f8a80c12afba2cd5,2
242,,matrix2,6018f5fff8a80c12afba2201,0
243,1.0,matrix2,6018f5fff8a80c12afba2201,1
244,1.0,matrix2,6018f5fff8a80c12afba2201,2
245,1.0,matrix2,6018f5fff8a80c12afba2201,3
246,1.0,vector2,6018f4bbf8a80c12afba21b3,0
247,1.0,vector2,6018f4bbf8a80c12afba21b3,1
248,,matrix2,6018fd16f8a80c12afba2cd5,0
249,0.0,matrix2,6018fd16f8a80c12afba2cd5,1
250,0.0,matrix2,6018fd16f8a80c12afba2cd5,2
251,0.0,matrix2,6018fd16f8a80c12afba2cd5,3
252,,matrix3,6018f5fff8a80c12afba2201,0
253,,matrix3,6018f5fff8a80c12afba2201,1
254,,matrix3,6018f5fff8a80c12afba2201,2
255,-1.0,matrix3,6018f5fff8a80c12afba2201,3
256,1.0,vector_test,6018f723f8a80c12afba2369,0
257,1.0,vector_test,6018f723f8a80c12afba2369,1
258,1.0,vector_test,6018f723f8a80c12afba2369,2
259,1.0,matrix1,6018f3bcf8a80c12afba2189,0
260,1.0,matrix1,6018f3bcf8a80c12afba2189,1
261,1.0,matrix1,6018f3bcf8a80c12afba2189,2
262,1.0,matrix3,6018fd16f8a80c12afba2cd5,0
263,1.0,matrix3,6018fd16f8a80c12afba2cd5,1
264,0.0,matrix3,6018fd16f8a80c12afba2cd5,2
265,,matrix3,6018fd16f8a80c12afba2cd5,3
266,1.0,matrix3,6018f3bcf8a80c12afba2189,0
267,1.0,matrix3,6018f3bcf8a80c12afba2189,1
268,1.0,matrix3,6018f3bcf8a80c12afba2189,2
269,1.0,matrix3,6018f3bcf8a80c12afba2189,3
270,1.0,vector_test,6018f4bbf8a80c12afba21b3,0
271,1.0,vector_test,6018f4bbf8a80c12afba21b3,1
272,1.0,vector_test,6018f4bbf8a80c12afba21b3,2
273,,matrix4,6018fd16f8a80c12afba2cd5,0
274,1.0,matrix4,6018fd16f8a80c12afba2cd5,1
275,1.0,matrix4,6018fd16f8a80c12afba2cd5,2
276,1.0,matrix4,6018fd16f8a80c12afba2cd5,3
277,1.0,matrix1,6018f4bbf8a80c12afba21b3,0
278,1.0,matrix1,6018f4bbf8a80c12afba21b3,1
279,1.0,matrix1,6018f4bbf8a80c12afba21b3,2
280,0.0,matrix_test,6018fd16f8a80c12afba2cd5,0
281,,matrix_test,6018fd16f8a80c12afba2cd5,1
282,0.0,matrix_test,6018fd16f8a80c12afba2cd5,2
283,1.0,matrix2,6018f4bbf8a80c12afba21b3,0
284,1.0,matrix2,6018f4bbf8a80c12afba21b3,1
285,1.0,matrix2,6018f4bbf8a80c12afba21b3,2
286,1.0,matrix2,6018f4bbf8a80c12afba21b3,3
287,,dataframe4,6018fd16f8a80c12afba2cd5,0
288,0.0,dataframe4,6018fd16f8a80c12afba2cd5,1
289,1.0,dataframe4,6018fd16f8a80c12afba2cd5,2
290,,dataframe4,6018fd16f8a80c12afba2cd5,3
291,1.0,matrix3,6018f4bbf8a80c12afba21b3,0
292,1.0,matrix3,6018f4bbf8a80c12afba21b3,1
293,1.0,matrix3,6018f4bbf8a80c12afba21b3,2
294,1.0,matrix3,6018f4bbf8a80c12afba21b3,3
295,1.0,matrix4,6018f4bbf8a80c12afba21b3,0
296,1.0,matrix4,6018f4bbf8a80c12afba21b3,1
297,1.0,matrix4,6018f4bbf8a80c12afba21b3,2
298,1.0,matrix4,6018f4bbf8a80c12afba21b3,3
299,1.0,matrix5,6018f4bbf8a80c12afba21b3,0
300,1.0,matrix5,6018f4bbf8a80c12afba21b3,1
301,1.0,matrix5,6018f4bbf8a80c12afba21b3,2
302,1.0,matrix5,6018f4bbf8a80c12afba21b3,3
303,1.0,matrix_test,6018f4bbf8a80c12afba21b3,0
304,1.0,matrix_test,6018f4bbf8a80c12afba21b3,1
305,1.0,matrix_test,6018f4bbf8a80c12afba21b3,2
306,1.0,dataframe1,6018f4bbf8a80c12afba21b3,0
307,1.0,dataframe1,6018f4bbf8a80c12afba21b3,1
308,1.0,dataframe2,6018f4bbf8a80c12afba21b3,0
309,1.0,dataframe2,6018f4bbf8a80c12afba21b3,1
310,1.0,dataframe3,6018f4bbf8a80c12afba21b3,0
311,1.0,dataframe3,6018f4bbf8a80c12afba21b3,1
312,1.0,dataframe3,6018f4bbf8a80c12afba21b3,2
313,1.0,dataframe4,6018f4bbf8a80c12afba21b3,0
314,1.0,dataframe4,6018f4bbf8a80c12afba21b3,1
315,1.0,dataframe4,6018f4bbf8a80c12afba21b3,2
316,1.0,dataframe4,6018f4bbf8a80c12afba21b3,3
317,1.0,matrix4,6018f3a9f8a80c12afba217e,0
318,1.0,matrix4,6018f3a9f8a80c12afba217e,1
319,1.0,matrix4,6018f3a9f8a80c12afba217e,2
320,1.0,matrix4,6018f3a9f8a80c12afba217e,3
321,1.0,dataframe6,6018f4bbf8a80c12afba21b3,0
322,1.0,dataframe6,6018f4bbf8a80c12afba21b3,1
323,,dataframe6,6018f4bbf8a80c12afba21b3,2
324,1.0,dataframe6,6018f4bbf8a80c12afba21b3,3
325,1.0,dataframe6,6018f4bbf8a80c12afba21b3,4
326,1.0,dataframe7,6018f4bbf8a80c12afba21b3,0
327,1.0,dataframe7,6018f4bbf8a80c12afba21b3,1
328,1.0,dataframe7,6018f4bbf8a80c12afba21b3,2
329,1.0,dataframe7,6018f4bbf8a80c12afba21b3,3
330,1.0,matrix5,6018f3a9f8a80c12afba217e,0
331,1.0,matrix5,6018f3a9f8a80c12afba217e,1
332,1.0,matrix5,6018f3a9f8a80c12afba217e,2
333,1.0,matrix5,6018f3a9f8a80c12afba217e,3
334,1.0,matrix2,60190373f8a80c12afba3a90,0
335,1.0,matrix2,60190373f8a80c12afba3a90,1
336,1.0,matrix2,60190373f8a80c12afba3a90,2
337,,matrix2,60190373f8a80c12afba3a90,3
338,,matrix_test,6018f5fff8a80c12afba2201,0
339,1.0,matrix_test,6018f5fff8a80c12afba2201,1
340,,matrix_test,6018f5fff8a80c12afba2201,2
341,1.0,matrix_test,6018f3a9f8a80c12afba217e,0
342,1.0,matrix_test,6018f3a9f8a80c12afba217e,1
343,1.0,matrix_test,6018f3a9f8a80c12afba217e,2
344,1.0,dataframe2,60190373f8a80c12afba3a90,0
345,1.0,dataframe2,60190373f8a80c12afba3a90,1
346,1.0,dataframe2,6018f3a9f8a80c12afba217e,0
347,1.0,dataframe2,6018f3a9f8a80c12afba217e,1
348,,dataframe4,6018f5fff8a80c12afba2201,0
349,,dataframe4,6018f5fff8a80c12afba2201,1
350,,dataframe4,6018f5fff8a80c12afba2201,2
351,1.0,dataframe4,6018f5fff8a80c12afba2201,3
352,1.0,matrix1,6018f517f8a80c12afba21c8,0
353,0.0,matrix1,6018f517f8a80c12afba21c8,1
354,-1.0,matrix1,6018f517f8a80c12afba21c8,2
355,,vector3,6018f6ebf8a80c12afba227b,0
356,1.0,vector3,6018f6ebf8a80c12afba227b,1
357,1.0,vector3,6018f6ebf8a80c12afba227b,2
358,1.0,vector_test,6018f5a0f8a80c12afba21ec,0
359,1.0,vector_test,6018f5a0f8a80c12afba21ec,1
360,1.0,vector_test,6018f5a0f8a80c12afba21ec,2
361,1.0,matrix1,6018f5a0f8a80c12afba21ec,0
362,1.0,matrix1,6018f5a0f8a80c12afba21ec,1
363,1.0,matrix1,6018f5a0f8a80c12afba21ec,2
364,,matrix2,6018f5a0f8a80c12afba21ec,0
365,1.0,matrix2,6018f5a0f8a80c12afba21ec,1
366,1.0,matrix2,6018f5a0f8a80c12afba21ec,2
367,1.0,matrix2,6018f5a0f8a80c12afba21ec,3
368,1.0,matrix1,60191b2af8a80c12afba6602,0
369,1.0,matrix1,60191b2af8a80c12afba6602,1
370,1.0,matrix1,60191b2af8a80c12afba6602,2
371,1.0,matrix_test,6018f5a0f8a80c12afba21ec,0
372,1.0,matrix_test,6018f5a0f8a80c12afba21ec,1
373,1.0,matrix_test,6018f5a0f8a80c12afba21ec,2
374,1.0,dataframe1,6018f5a0f8a80c12afba21ec,0
375,1.0,dataframe1,6018f5a0f8a80c12afba21ec,1
376,1.0,dataframe2,6018f5a0f8a80c12afba21ec,0
377,,dataframe2,6018f5a0f8a80c12afba21ec,1
378,1.0,matrix3,60191b2af8a80c12afba6602,0
379,1.0,matrix3,60191b2af8a80c12afba6602,1
380,1.0,matrix3,60191b2af8a80c12afba6602,2
381,,matrix3,60191b2af8a80c12afba6602,3
382,1.0,matrix4,60191b2af8a80c12afba6602,0
383,1.0,matrix4,60191b2af8a80c12afba6602,1
384,1.0,matrix4,60191b2af8a80c12afba6602,2
385,1.0,matrix4,60191b2af8a80c12afba6602,3
386,,matrix5,60191b2af8a80c12afba6602,0
387,1.0,matrix5,60191b2af8a80c12afba6602,1
388,1.0,matrix5,60191b2af8a80c12afba6602,2
389,1.0,matrix5,60191b2af8a80c12afba6602,3
390,1.0,matrix_test,60191b2af8a80c12afba6602,0
391,,matrix_test,60191b2af8a80c12afba6602,1
392,1.0,matrix_test,60191b2af8a80c12afba6602,2
393,1.0,dataframe1,60191b2af8a80c12afba6602,0
394,1.0,dataframe1,60191b2af8a80c12afba6602,1
395,1.0,dataframe2,60191b2af8a80c12afba6602,0
396,1.0,dataframe2,60191b2af8a80c12afba6602,1
397,1.0,dataframe4,60191b2af8a80c12afba6602,0
398,1.0,dataframe4,60191b2af8a80c12afba6602,1
399,1.0,dataframe4,60191b2af8a80c12afba6602,2
400,1.0,dataframe4,60191b2af8a80c12afba6602,3
401,1.0,dataframe6,60191b2af8a80c12afba6602,0
402,,dataframe6,60191b2af8a80c12afba6602,1
403,1.0,dataframe6,60191b2af8a80c12afba6602,2
404,1.0,dataframe6,60191b2af8a80c12afba6602,3
405,1.0,dataframe6,60191b2af8a80c12afba6602,4
406,1.0,dataframe7,60191b2af8a80c12afba6602,0
407,1.0,dataframe7,60191b2af8a80c12afba6602,1
408,1.0,dataframe7,60191b2af8a80c12afba6602,2
409,1.0,dataframe7,60191b2af8a80c12afba6602,3
410,1.0,vector3,601928dff8a80c12afba988d,0
411,1.0,vector3,601928dff8a80c12afba988d,1
412,1.0,vector3,601928dff8a80c12afba988d,2
413,,vector3,601c018ef8a80c12afbe19fe,0
414,,vector3,601c018ef8a80c12afbe19fe,1
415,1.0,vector3,601c018ef8a80c12afbe19fe,2
416,1.0,matrix1,601ba4acf8a80c12afbdee12,0
417,1.0,matrix1,601ba4acf8a80c12afbdee12,1
418,1.0,matrix1,601ba4acf8a80c12afbdee12,2
419,,matrix2,601ba4acf8a80c12afbdee12,0
420,1.0,matrix2,601ba4acf8a80c12afbdee12,1
421,1.0,matrix2,601ba4acf8a80c12afbdee12,2
422,,matrix2,601ba4acf8a80c12afbdee12,3
423,,matrix3,601ba4acf8a80c12afbdee12,0
424,1.0,matrix3,601ba4acf8a80c12afbdee12,1
425,1.0,matrix3,601ba4acf8a80c12afbdee12,2
426,,matrix3,601ba4acf8a80c12afbdee12,3
427,,matrix4,601ba4acf8a80c12afbdee12,0
428,,matrix4,601ba4acf8a80c12afbdee12,1
429,1.0,matrix4,601ba4acf8a80c12afbdee12,2
430,,matrix4,601ba4acf8a80c12afbdee12,3
431,1.0,matrix5,601ba4acf8a80c12afbdee12,0
432,1.0,matrix5,601ba4acf8a80c12afbdee12,1
433,1.0,matrix5,601ba4acf8a80c12afbdee12,2
434,,matrix5,601ba4acf8a80c12afbdee12,3
435,1.0,matrix_test,601ba4acf8a80c12afbdee12,0
436,1.0,matrix_test,601ba4acf8a80c12afbdee12,1
437,,matrix_test,601ba4acf8a80c12afbdee12,2
438,1.0,dataframe1,601ba4acf8a80c12afbdee12,0
439,,dataframe1,601ba4acf8a80c12afbdee12,1
440,1.0,dataframe2,601ba4acf8a80c12afbdee12,0
441,,dataframe2,601ba4acf8a80c12afbdee12,1
442,,dataframe3,601ba4acf8a80c12afbdee12,0
443,1.0,dataframe3,601ba4acf8a80c12afbdee12,1
444,,dataframe3,601ba4acf8a80c12afbdee12,2
445,,dataframe4,601ba4acf8a80c12afbdee12,0
446,1.0,dataframe4,601ba4acf8a80c12afbdee12,1
447,1.0,dataframe4,601ba4acf8a80c12afbdee12,2
448,,dataframe4,601ba4acf8a80c12afbdee12,3
449,,dataframe5,601ba4acf8a80c12afbdee12,0
450,1.0,dataframe5,601ba4acf8a80c12afbdee12,1
451,1.0,dataframe5,601ba4acf8a80c12afbdee12,2
452,,dataframe5,601ba4acf8a80c12afbdee12,3
453,,dataframe6,601ba4acf8a80c12afbdee12,0
454,,dataframe6,601ba4acf8a80c12afbdee12,1
455,1.0,dataframe6,601ba4acf8a80c12afbdee12,2
456,1.0,dataframe6,601ba4acf8a80c12afbdee12,3
457,1.0,dataframe6,601ba4acf8a80c12afbdee12,4
458,,dataframe7,601ba4acf8a80c12afbdee12,0
459,,dataframe7,601ba4acf8a80c12afbdee12,1
460,1.0,dataframe7,601ba4acf8a80c12afbdee12,2
461,,dataframe7,601ba4acf8a80c12afbdee12,3
462,1.0,matrix5,601928dff8a80c12afba988d,0
463,1.0,matrix5,601928dff8a80c12afba988d,1
464,1.0,matrix5,601928dff8a80c12afba988d,2
465,1.0,matrix5,601928dff8a80c12afba988d,3
466,1.0,matrix2,601c018ef8a80c12afbe19fe,0
467,1.0,matrix2,601c018ef8a80c12afbe19fe,1
468,1.0,matrix2,601c018ef8a80c12afbe19fe,2
469,1.0,matrix2,601c018ef8a80c12afbe19fe,3
470,1.0,vector3,601c0246f8a80c12afbe1b2d,0
471,1.0,vector3,601c0246f8a80c12afbe1b2d,1
472,1.0,vector3,601c0246f8a80c12afbe1b2d,2
473,1.0,matrix3,601c018ef8a80c12afbe19fe,0
474,1.0,matrix3,601c018ef8a80c12afbe19fe,1
475,1.0,matrix3,601c018ef8a80c12afbe19fe,2
476,1.0,matrix3,601c018ef8a80c12afbe19fe,3
477,1.0,matrix4,601c018ef8a80c12afbe19fe,0
478,1.0,matrix4,601c018ef8a80c12afbe19fe,1
479,1.0,matrix4,601c018ef8a80c12afbe19fe,2
480,1.0,matrix4,601c018ef8a80c12afbe19fe,3
481,1.0,matrix5,601c018ef8a80c12afbe19fe,0
482,1.0,matrix5,601c018ef8a80c12afbe19fe,1
483,1.0,matrix5,601c018ef8a80c12afbe19fe,2
484,1.0,matrix5,601c018ef8a80c12afbe19fe,3
485,1.0,matrix2,601c0246f8a80c12afbe1b2d,0
486,1.0,matrix2,601c0246f8a80c12afbe1b2d,1
487,1.0,matrix2,601c0246f8a80c12afbe1b2d,2
488,1.0,matrix2,601c0246f8a80c12afbe1b2d,3
489,1.0,matrix3,601c0246f8a80c12afbe1b2d,0
490,1.0,matrix3,601c0246f8a80c12afbe1b2d,1
491,1.0,matrix3,601c0246f8a80c12afbe1b2d,2
492,1.0,matrix3,601c0246f8a80c12afbe1b2d,3
493,,dataframe4,601928dff8a80c12afba988d,0
494,1.0,dataframe4,601928dff8a80c12afba988d,1
495,1.0,dataframe4,601928dff8a80c12afba988d,2
496,1.0,dataframe4,601928dff8a80c12afba988d,3
497,1.0,dataframe5,601928dff8a80c12afba988d,0
